epoch,step,test_loss,test_mae,train_loss,train_mae_epoch,train_mae_step,valid_loss,valid_mae
0,4,,,,,342.02520751953125,,
0,5,,,,,,142352.1875,228.9734344482422
0,5,,,397962.46875,470.3632507324219,,,
1,9,,,,,184.30157470703125,,
1,11,,,,,,123328.2578125,210.68060302734375
1,11,,,72404.640625,180.21775817871094,,,
2,14,,,,,155.57034301757812,,
2,17,,,,,,129373.2734375,213.13165283203125
2,17,,,71045.453125,172.5440216064453,,,
3,19,,,,,205.8271026611328,,
3,23,,,,,,130360.328125,214.39785766601562
3,23,,,67621.3125,166.4880828857422,,,
4,24,,,,,130.22286987304688,,
4,29,,,,,196.5994110107422,,
4,29,,,,,,122502.0703125,218.9389190673828
4,29,,,65024.23046875,164.35528564453125,,,
5,34,,,,,121.11238861083984,,
5,35,,,,,,122176.34375,205.5851593017578
5,35,,,73275.359375,184.61590576171875,,,
6,39,,,,,132.72592163085938,,
6,41,,,,,,125941.078125,211.65829467773438
6,41,,,64482.23828125,163.78749084472656,,,
7,44,,,,,188.3430938720703,,
7,47,,,,,,123105.046875,203.48927307128906
7,47,,,71432.0546875,172.35816955566406,,,
8,49,,,,,121.24714660644531,,
8,53,,,,,,113646.3046875,198.71714782714844
8,53,,,62343.44140625,160.0214080810547,,,
9,54,,,,,183.03677368164062,,
9,59,,,,,103.19202423095703,,
9,59,,,,,,111831.546875,195.18467712402344
9,59,,,65171.35546875,160.71604919433594,,,
10,64,,,,,174.05197143554688,,
10,65,,,,,,128664.4765625,208.47589111328125
10,65,,,59017.6953125,155.11058044433594,,,
11,69,,,,,170.40994262695312,,
11,71,,,,,,124238.15625,202.77976989746094
11,71,,,61031.4609375,163.23875427246094,,,
12,74,,,,,126.88177490234375,,
12,77,,,,,,116678.875,216.39744567871094
12,77,,,65019.16015625,166.01248168945312,,,
13,79,,,,,223.49697875976562,,
13,83,,,,,,137358.453125,217.54653930664062
13,83,,,91587.8125,194.53160095214844,,,
14,84,,,,,147.6999969482422,,
14,89,,,,,186.9250946044922,,
14,89,,,,,,113146.1796875,206.58270263671875
14,89,,,68731.671875,166.47817993164062,,,
15,94,,,,,177.0935821533203,,
15,95,,,,,,127078.5703125,206.49305725097656
15,95,,,58733.26953125,162.1790771484375,,,
16,99,,,,,130.17845153808594,,
16,101,,,,,,156770.5,248.84693908691406
16,101,,,63144.85546875,161.629638671875,,,
17,104,,,,,152.01963806152344,,
17,107,,,,,,107567.1171875,194.21022033691406
17,107,,,63557.578125,162.44532775878906,,,
18,109,,,,,220.9197235107422,,
18,113,,,,,,124283.1171875,204.7012176513672
18,113,,,56536.08984375,154.88636779785156,,,
19,114,,,,,121.82361602783203,,
19,119,,,,,146.32388305664062,,
19,119,,,,,,102970.0,181.63760375976562
19,119,,,68526.859375,171.6090087890625,,,
20,124,,,,,100.3375473022461,,
20,125,,,,,,143577.640625,270.325439453125
20,125,,,66037.359375,160.31517028808594,,,
21,129,,,,,186.98202514648438,,
21,131,,,,,,108621.3046875,196.9274444580078
21,131,,,69356.2265625,176.73658752441406,,,
22,134,,,,,171.35992431640625,,
22,137,,,,,,113976.21875,192.95030212402344
22,137,,,56776.28125,158.83596801757812,,,
23,139,,,,,169.71258544921875,,
23,143,,,,,,172768.640625,306.3657531738281
23,143,,,58104.703125,154.67501831054688,,,
24,144,,,,,276.8775939941406,,
24,149,,,,,122.83927917480469,,
24,149,,,,,,115684.2421875,195.1536102294922
24,149,,,79846.2890625,188.88296508789062,,,
25,154,,,,,144.98001098632812,,
25,155,,,,,,107851.4765625,197.89964294433594
25,155,,,56052.79296875,150.77203369140625,,,
26,159,,,,,170.2854461669922,,
26,161,,,,,,108169.0,187.72715759277344
26,161,,,56102.3359375,162.0242462158203,,,
27,164,,,,,203.9915008544922,,
27,167,,,,,,135848.484375,221.64004516601562
27,167,,,61723.3359375,162.61276245117188,,,
28,169,,,,,161.9326171875,,
28,173,,,,,,113972.0703125,193.82481384277344
28,173,,,62407.14453125,167.00254821777344,,,
29,174,,,,,146.69174194335938,,
29,179,,,,,134.57623291015625,,
29,179,,,,,,117582.8046875,198.90512084960938
29,179,,,63358.02734375,164.61370849609375,,,
30,184,,,,,209.877685546875,,
30,185,,,,,,112897.75,196.75921630859375
30,185,,,62523.421875,154.10215759277344,,,
31,189,,,,,132.09934997558594,,
31,191,,,,,,122278.0,204.86244201660156
31,191,,,54464.5078125,153.58441162109375,,,
32,194,,,,,167.82972717285156,,
32,197,,,,,,110873.421875,209.78070068359375
32,197,,,55482.00390625,154.09751892089844,,,
33,199,,,,,215.30340576171875,,
33,203,,,,,,121409.671875,204.86563110351562
33,203,,,67205.2421875,162.42909240722656,,,
34,204,,,,,207.80142211914062,,
34,209,,,,,132.22996520996094,,
34,209,,,,,,109000.0,199.48558044433594
34,209,,,62589.54296875,162.1259307861328,,,
35,214,,,,,135.18942260742188,,
35,215,,,,,,102212.6171875,187.98316955566406
35,215,,,60932.484375,166.00404357910156,,,
36,219,,,,,135.6510467529297,,
36,221,,,,,,109138.3203125,188.7690887451172
36,221,,,56743.9296875,155.44419860839844,,,
37,224,,,,,132.3726348876953,,
37,227,,,,,,114795.8671875,194.47640991210938
37,227,,,52728.2734375,150.63491821289062,,,
38,229,,,,,150.36732482910156,,
38,233,,,,,,213363.359375,354.2000427246094
38,233,,,56718.81640625,154.13706970214844,,,
39,234,,,,,312.3410339355469,,
39,239,,,,,218.1514434814453,,
39,239,,,,,,110707.796875,199.1516571044922
39,239,,,70574.6953125,173.86581420898438,,,
40,244,,,,,210.62493896484375,,
40,245,,,,,,118493.953125,199.49453735351562
40,245,,,63733.94921875,174.86965942382812,,,
41,249,,,,,160.108642578125,,
41,251,,,,,,112690.7578125,193.15284729003906
41,251,,,55944.56640625,152.33290100097656,,,
42,254,,,,,175.36692810058594,,
42,257,,,,,,115691.03125,197.680419921875
42,257,,,60443.24609375,160.00506591796875,,,
43,259,,,,,157.25160217285156,,
43,263,,,,,,102559.3203125,188.00096130371094
43,263,,,54791.97265625,151.39633178710938,,,
44,264,,,,,135.30116271972656,,
44,269,,,,,207.7920684814453,,
44,269,,,,,,104892.421875,184.5538787841797
44,269,,,51593.2578125,154.70962524414062,,,
45,274,,,,,157.3612060546875,,
45,275,,,,,,115087.90625,200.73060607910156
45,275,,,53787.97265625,149.11172485351562,,,
46,279,,,,,158.7589569091797,,
46,281,,,,,,141200.859375,260.8966979980469
46,281,,,56727.703125,157.48165893554688,,,
47,284,,,,,140.92758178710938,,
47,287,,,,,,112844.78125,192.23260498046875
47,287,,,55534.46875,162.50535583496094,,,
48,289,,,,,157.3086395263672,,
48,293,,,,,,114812.1484375,196.20823669433594
48,293,,,54716.7265625,157.66371154785156,,,
49,294,,,,,162.47445678710938,,
49,299,,,,,129.02149963378906,,
49,299,,,,,,106075.2734375,188.1394500732422
49,299,,,66869.921875,167.8011474609375,,,
50,304,,,,,96.07926177978516,,
50,305,,,,,,121769.6796875,212.88299560546875
50,305,,,52315.50390625,153.23452758789062,,,
51,309,,,,,136.3387451171875,,
51,311,,,,,,127861.6484375,241.81390380859375
51,311,,,50891.703125,149.06399536132812,,,
52,314,,,,,111.11967468261719,,
52,317,,,,,,109890.8984375,187.18536376953125
52,317,,,70535.1953125,176.3118133544922,,,
53,319,,,,,153.88626098632812,,
53,323,,,,,,98069.78125,182.47425842285156
53,323,,,50838.2734375,155.32220458984375,,,
54,324,,,,,141.0023651123047,,
54,329,,,,,220.6771697998047,,
54,329,,,,,,121869.34375,212.2241668701172
54,329,,,57256.109375,161.49423217773438,,,
55,334,,,,,188.7046356201172,,
55,335,,,,,,101483.078125,182.10931396484375
55,335,,,52068.26171875,152.57058715820312,,,
56,339,,,,,111.23863983154297,,
56,341,,,,,,93122.9140625,176.28945922851562
56,341,,,52304.00390625,151.09591674804688,,,
57,344,,,,,91.57099914550781,,
57,347,,,,,,108204.6328125,212.47764587402344
57,347,,,48078.4609375,149.72097778320312,,,
58,349,,,,,216.20123291015625,,
58,353,,,,,,98612.8046875,180.098876953125
58,353,,,66902.8984375,183.6564178466797,,,
59,354,,,,,157.2172393798828,,
59,359,,,,,161.81417846679688,,
59,359,,,,,,129415.8515625,232.759765625
59,359,,,58758.0234375,159.1198272705078,,,
60,364,,,,,146.16067504882812,,
60,365,,,,,,139483.34375,264.1946105957031
60,365,,,62442.49609375,170.79212951660156,,,
61,369,,,,,138.989013671875,,
61,371,,,,,,95270.703125,181.4871826171875
61,371,,,78600.9375,188.1776580810547,,,
62,374,,,,,200.36984252929688,,
62,377,,,,,,102003.1484375,183.51751708984375
62,377,,,56373.703125,162.16531372070312,,,
63,379,,,,,204.0252227783203,,
63,383,,,,,,104264.546875,186.88287353515625
63,383,,,61215.5703125,165.05882263183594,,,
64,384,,,,,115.34056091308594,,
64,389,,,,,163.9952850341797,,
64,389,,,,,,94861.390625,176.66014099121094
64,389,,,52270.703125,150.77792358398438,,,
65,394,,,,,152.86985778808594,,
65,395,,,,,,105113.671875,186.54946899414062
65,395,,,49348.65234375,150.64154052734375,,,
66,399,,,,,122.0818862915039,,
66,401,,,,,,105461.7734375,198.89085388183594
66,401,,,48822.16015625,144.55068969726562,,,
67,404,,,,,156.4010772705078,,
67,407,,,,,,114265.4296875,200.41786193847656
67,407,,,53159.171875,160.20510864257812,,,
68,409,,,,,162.70999145507812,,
68,413,,,,,,116838.8046875,216.86732482910156
68,413,,,50862.1484375,149.29586791992188,,,
69,414,,,,,172.3594207763672,,
69,419,,,,,92.49375915527344,,
69,419,,,,,,100072.8984375,180.24151611328125
69,419,,,54938.92578125,158.762939453125,,,
70,424,,,,,128.85479736328125,,
70,425,,,,,,99766.5078125,193.15322875976562
70,425,,,48464.421875,148.4895782470703,,,
71,429,,,,,169.9619903564453,,
71,431,,,,,,94130.5703125,176.28155517578125
71,431,,,55230.81640625,157.86517333984375,,,
72,434,,,,,158.9678955078125,,
72,437,,,,,,93212.234375,175.50848388671875
