epoch,step,test_loss,test_mae,train_loss,train_mae_epoch,train_mae_step,valid_loss,valid_mae
72,437,,,45866.21875,145.61892700195312,,,
73,439,,,,,175.10769653320312,,
73,443,,,,,,95482.6171875,183.75286865234375
73,443,,,44984.52734375,139.21241760253906,,,
74,444,,,,,210.267822265625,,
74,449,,,,,110.25630187988281,,
74,449,,,,,,98831.8046875,191.649169921875
74,449,,,45587.5859375,142.93191528320312,,,
75,454,,,,,155.20066833496094,,
75,455,,,,,,100449.453125,196.00726318359375
75,455,,,46712.7890625,149.3258514404297,,,
76,459,,,,,208.3814697265625,,
76,461,,,,,,97211.28125,180.52117919921875
76,461,,,71429.015625,184.329345703125,,,
77,464,,,,,149.39825439453125,,
77,467,,,,,,117297.6484375,209.05255126953125
77,467,,,46889.12109375,148.64486694335938,,,
78,469,,,,,138.32176208496094,,
78,473,,,,,,110971.25,214.23397827148438
78,473,,,49734.45703125,155.36874389648438,,,
79,474,,,,,219.7843780517578,,
79,479,,,,,204.33872985839844,,
79,479,,,,,,94492.84375,179.31910705566406
79,479,,,51119.85546875,153.59457397460938,,,
80,484,,,,,203.7764892578125,,
80,485,,,,,,100721.28125,184.70770263671875
80,485,,,49157.1875,149.29977416992188,,,
81,489,,,,,163.25286865234375,,
81,491,,,,,,94087.609375,178.74029541015625
81,491,,,46118.08203125,145.72573852539062,,,
82,494,,,,,127.00890350341797,,
82,497,,,,,,90302.1171875,174.67071533203125
82,497,,,43100.8203125,141.25265502929688,,,
83,499,,,,,176.89010620117188,,
83,503,,,,,,121923.1328125,205.172607421875
83,503,,,74523.265625,184.1260986328125,,,
84,504,,,,,143.75546264648438,,
84,509,,,,,94.2308120727539,,
84,509,,,,,,91278.6484375,178.69259643554688
84,509,,,53799.45703125,155.48617553710938,,,
85,514,,,,,156.9620361328125,,
85,515,,,,,,121142.453125,214.6791534423828
85,515,,,44112.01171875,143.04542541503906,,,
86,519,,,,,127.0019760131836,,
86,521,,,,,,95427.046875,178.25511169433594
86,521,,,48094.3671875,150.59591674804688,,,
87,524,,,,,137.9551239013672,,
87,527,,,,,,100477.7734375,183.06312561035156
87,527,,,45626.6640625,143.95330810546875,,,
88,529,,,,,219.60244750976562,,
88,533,,,,,,109500.40625,213.00157165527344
88,533,,,60888.96484375,168.03456115722656,,,
89,534,,,,,229.66961669921875,,
89,539,,,,,142.03907775878906,,
89,539,,,,,,110603.8671875,200.6531219482422
89,539,,,57953.875,169.07369995117188,,,
90,544,,,,,156.18104553222656,,
90,545,,,,,,101058.3046875,186.25059509277344
90,545,,,44419.3359375,138.8265838623047,,,
91,549,,,,,197.52589416503906,,
91,551,,,,,,100704.0703125,182.74159240722656
91,551,,,56779.3125,165.042724609375,,,
92,554,,,,,181.81393432617188,,
92,557,,,,,,94236.2109375,176.94427490234375
92,557,,,51853.51953125,154.1726837158203,,,
93,559,,,,,163.19143676757812,,
93,563,,,,,,93046.65625,176.91409301757812
93,563,,,42698.921875,140.44778442382812,,,
94,564,,,,,146.86753845214844,,
94,569,,,,,128.32510375976562,,
94,569,,,,,,93316.3984375,175.84002685546875
94,569,,,55877.49609375,163.81591796875,,,
95,574,,,,,138.20938110351562,,
95,575,,,,,,97156.2578125,181.36827087402344
95,575,,,41305.05859375,138.40249633789062,,,
96,579,,,,,129.85191345214844,,
96,581,,,,,,109196.6953125,198.021240234375
96,581,,,45186.33203125,145.8369598388672,,,
97,584,,,,,175.11199951171875,,
97,587,,,,,,130823.90625,247.42959594726562
97,587,,,48308.4609375,149.13247680664062,,,
98,589,,,,,248.54676818847656,,
98,593,,,,,,92308.984375,173.8047637939453
98,593,,,66605.2265625,182.68739318847656,,,
99,594,,,,,119.53858184814453,,
99,599,,,,,70.13227081298828,,
99,599,,,,,,97430.53125,182.86878967285156
99,599,,,42955.01171875,141.9895782470703,,,
100,600,97430.53125,182.86878967285156,,,,,
