epoch,step,test_loss,test_mae,train_loss,train_mae_epoch,train_mae_step,valid_loss,valid_mae
0,4,,,,,296.62274169921875,,
0,5,,,,,,124820.375,240.21673583984375
0,5,,,992068.5,546.7854614257812,,,
1,9,,,,,201.7681427001953,,
1,11,,,,,,116052.1484375,231.4735870361328
1,11,,,105665.2109375,217.12635803222656,,,
2,14,,,,,225.36976623535156,,
2,17,,,,,,103457.875,209.81126403808594
2,17,,,100731.0859375,221.0390625,,,
3,19,,,,,172.5335235595703,,
3,23,,,,,,137819.765625,249.11956787109375
3,23,,,113901.828125,212.43589782714844,,,
4,24,,,,,214.32215881347656,,
4,29,,,,,134.11770629882812,,
4,29,,,,,,120421.3984375,232.900634765625
4,29,,,101441.5078125,213.7294464111328,,,
5,34,,,,,168.3710174560547,,
5,35,,,,,,108922.25,224.74917602539062
5,35,,,120934.4921875,226.8914031982422,,,
6,39,,,,,216.93328857421875,,
6,41,,,,,,113719.328125,234.43807983398438
6,41,,,124544.9921875,228.71832275390625,,,
7,44,,,,,248.6920623779297,,
7,47,,,,,,124487.2578125,248.75318908691406
7,47,,,115569.40625,216.88253784179688,,,
8,49,,,,,184.22413635253906,,
8,53,,,,,,123342.375,246.7900390625
8,53,,,109929.40625,224.43185424804688,,,
9,54,,,,,311.84259033203125,,
9,59,,,,,126.309326171875,,
9,59,,,,,,124064.046875,237.68861389160156
9,59,,,124582.203125,225.6913604736328,,,
10,64,,,,,232.59542846679688,,
10,65,,,,,,114157.6953125,221.92315673828125
10,65,,,106619.703125,223.3279266357422,,,
11,69,,,,,234.5267791748047,,
11,71,,,,,,131845.65625,258.5197448730469
11,71,,,82038.3046875,207.76356506347656,,,
12,74,,,,,206.12786865234375,,
12,77,,,,,,128329.5,236.70738220214844
12,77,,,104020.1015625,226.82427978515625,,,
13,79,,,,,192.87408447265625,,
13,83,,,,,,133994.5625,260.7557678222656
13,83,,,108526.3984375,218.4958953857422,,,
14,84,,,,,372.31732177734375,,
14,89,,,,,197.80548095703125,,
14,89,,,,,,120007.5546875,230.89395141601562
14,89,,,121392.4140625,242.48123168945312,,,
15,94,,,,,183.8033905029297,,
15,95,,,,,,135956.6875,239.0148468017578
15,95,,,90155.40625,220.04595947265625,,,
16,99,,,,,251.61337280273438,,
16,101,,,,,,129052.53125,229.33169555664062
16,101,,,115586.0546875,241.83676147460938,,,
17,104,,,,,237.691650390625,,
17,107,,,,,,116412.9453125,219.9889678955078
17,107,,,99764.25,212.95635986328125,,,
18,109,,,,,184.53994750976562,,
18,113,,,,,,119030.9296875,225.933349609375
18,113,,,96942.796875,221.02145385742188,,,
19,114,,,,,132.30035400390625,,
19,119,,,,,194.89144897460938,,
19,119,,,,,,149217.0625,247.27931213378906
19,119,,,101995.390625,210.7314910888672,,,
20,124,,,,,224.86026000976562,,
20,125,,,,,,112119.203125,220.04705810546875
20,125,,,121410.09375,231.249755859375,,,
21,129,,,,,184.94435119628906,,
21,131,,,,,,118502.90625,235.7943878173828
21,131,,,106466.0,229.90383911132812,,,
22,134,,,,,269.6565856933594,,
22,137,,,,,,123077.375,239.30780029296875
22,137,,,101278.796875,215.54229736328125,,,
23,139,,,,,282.3827819824219,,
23,143,,,,,,121913.7265625,232.1513671875
23,143,,,101008.8828125,224.82972717285156,,,
24,144,,,,,210.614501953125,,
24,149,,,,,399.93701171875,,
24,149,,,,,,129566.078125,256.2726745605469
24,149,,,106114.09375,223.6896209716797,,,
25,154,,,,,211.140869140625,,
25,155,,,,,,116701.453125,225.91326904296875
25,155,,,90192.9609375,207.5289306640625,,,
26,159,,,,,226.4053955078125,,
26,161,,,,,,116217.1171875,233.7751922607422
26,161,,,93772.34375,202.13641357421875,,,
27,164,,,,,217.2194366455078,,
27,167,,,,,,113147.1796875,220.63265991210938
27,167,,,104994.0234375,220.6195068359375,,,
28,169,,,,,204.2884979248047,,
28,173,,,,,,110523.2734375,225.82069396972656
28,173,,,106137.796875,209.55392456054688,,,
29,174,,,,,263.85137939453125,,
29,179,,,,,192.98753356933594,,
29,179,,,,,,110960.1953125,224.44520568847656
29,179,,,98691.3828125,209.53057861328125,,,
30,184,,,,,182.3731689453125,,
30,185,,,,,,117761.7734375,238.16090393066406
30,185,,,95520.3515625,209.54714965820312,,,
31,189,,,,,263.418701171875,,
31,191,,,,,,121522.6953125,232.6015167236328
31,191,,,112474.140625,226.41407775878906,,,
32,194,,,,,267.81402587890625,,
32,197,,,,,,114653.078125,234.71054077148438
32,197,,,103221.875,212.51576232910156,,,
33,199,,,,,198.84930419921875,,
33,203,,,,,,129837.953125,239.733642578125
33,203,,,100308.9609375,219.44956970214844,,,
34,204,,,,,223.45367431640625,,
34,209,,,,,197.16558837890625,,
34,209,,,,,,129662.03125,238.78248596191406
34,209,,,110670.859375,229.68008422851562,,,
35,214,,,,,196.75404357910156,,
35,215,,,,,,190245.484375,282.34765625
35,215,,,98854.5703125,215.16183471679688,,,
36,219,,,,,214.48873901367188,,
36,221,,,,,,111061.6015625,229.10824584960938
36,221,,,106011.4140625,233.1262969970703,,,
